mesh 1,mesh 1,mesh 1,score,mean,std. dev.
x,y,z,,,
71,5,1,fission,4.4491153817401e-05,1.0992381171928526e-06
72,5,1,fission,1.090108608988757e-05,4.21228179437527e-07
73,5,1,fission,0.0,0.0
74,5,1,fission,0.0,0.0
75,5,1,fission,0.0,0.0
76,5,1,fission,0.0,0.0
77,5,1,fission,0.0,0.0
78,5,1,fission,0.0,0.0
79,5,1,fission,0.0,0.0
80,5,1,fission,0.0,0.0
81,5,1,fission,0.0,0.0
82,5,1,fission,0.0,0.0
83,5,1,fission,0.0,0.0
84,5,1,fission,0.0,0.0
85,5,1,fission,0.0,0.0
86,5,1,fission,0.0,0.0
87,5,1,fission,0.0,0.0
88,5,1,fission,0.0,0.0
89,5,1,fission,0.0,0.0
90,5,1,fission,0.0,0.0
91,5,1,fission,0.0,0.0
92,5,1,fission,0.0,0.0
93,5,1,fission,0.0,0.0
94,5,1,fission,0.0,0.0
95,5,1,fission,0.0,0.0
96,5,1,fission,0.0,0.0
97,5,1,fission,0.0,0.0
98,5,1,fission,0.0,0.0
99,5,1,fission,0.0,0.0
100,5,1,fission,0.0,0.0
1,6,1,fission,0.0,0.0
2,6,1,fission,0.0,0.0
3,6,1,fission,0.0,0.0
4,6,1,fission,0.0,0.0
5,6,1,fission,0.0,0.0
6,6,1,fission,0.0,0.0
7,6,1,fission,0.0,0.0
8,6,1,fission,0.0,0.0
9,6,1,fission,0.0,0.0
10,6,1,fission,0.0,0.0
11,6,1,fission,0.0,0.0
12,6,1,fission,0.0,0.0
13,6,1,fission,0.0,0.0
14,6,1,fission,0.0,0.0
15,6,1,fission,0.0,0.0
16,6,1,fission,0.0,0.0
17,6,1,fission,0.0,0.0
18,6,1,fission,0.0,0.0
19,6,1,fission,0.0,0.0
20,6,1,fission,0.0,0.0
21,6,1,fission,0.0,0.0
22,6,1,fission,0.0,0.0
23,6,1,fission,0.0,0.0
24,6,1,fission,0.0,0.0
25,6,1,fission,0.0,0.0
26,6,1,fission,0.0,0.0
27,6,1,fission,1.116007400565171e-05,3.9555355071745843e-07
28,6,1,fission,5.134052388335634e-05,1.2917045041103011e-06
29,6,1,fission,8.066902491060317e-05,2.273345925963242e-06
30,6,1,fission,7.736514076145501e-05,1.5279734619422528e-06
31,6,1,fission,7.991013121754867e-05,1.8199765973983455e-06
32,6,1,fission,7.768947467897163e-05,1.5983826333291469e-06
33,6,1,fission,7.570619068970496e-05,1.7945344329120661e-06
34,6,1,fission,7.684324376566394e-05,1.98800852626189e-06
35,6,1,fission,7.623130266310471e-05,1.806083112120276e-06
36,6,1,fission,7.43486024637135e-05,1.920982474865157e-06
37,6,1,fission,7.339872641201995e-05,1.5546183098866005e-06
38,6,1,fission,7.392268625031138e-05,1.696211142530554e-06
39,6,1,fission,7.369675932608593e-05,1.8236655130819114e-06
40,6,1,fission,7.29334600558003e-05,1.570167830130897e-06
41,6,1,fission,7.123891628041451e-05,1.549658844021445e-06
42,6,1,fission,7.463667307504831e-05,1.7934080346001842e-06
43,6,1,fission,7.297498100412954e-05,1.5179805060126501e-06
44,6,1,fission,7.529551157889568e-05,1.876062928730778e-06
45,6,1,fission,7.36987775974953e-05,1.6984537982232968e-06
46,6,1,fission,7.334943425814132e-05,1.5723381777588916e-06
47,6,1,fission,7.425105427258121e-05,1.4745601707051005e-06
48,6,1,fission,7.489210506094496e-05,1.8395432392910265e-06
49,6,1,fission,7.395616351924075e-05,1.8087633308222457e-06
50,6,1,fission,7.710802268868826e-05,1.821030701274078e-06
51,6,1,fission,7.601172154564568e-05,1.793004969483409e-06
52,6,1,fission,7.371470527068424e-05,1.5401715994703183e-06
53,6,1,fission,7.573076259137951e-05,1.8113527055465626e-06
54,6,1,fission,7.633951922573892e-05,1.6921603229754852e-06
55,6,1,fission,7.574612275238703e-05,1.6199571610816922e-06
56,6,1,fission,7.560700568667633e-05,1.7999354498283701e-06
57,6,1,fission,7.527710452860306e-05,1.60893420040434e-06
58,6,1,fission,7.39992690099455e-05,1.774295078681657e-06
